shipment_id,sku,shipping_time_days,shipping_carrier,shipping_cost,transportation_mode,route,total_cost
62,SKU61,7,Carrier C,9.030340422521949,Air,Route A,164.36652824341942
63,SKU62,7,Carrier C,7.291701388776776,Sea,Route C,320.8465157591116
64,SKU63,4,Carrier A,2.45793352798733,Sea,Route A,687.2861778664173
65,SKU64,6,Carrier C,4.585353468194652,Air,Route C,771.2250846811575
66,SKU65,8,Carrier C,6.580541347884595,Rail,Route C,555.8591036717435
67,SKU66,8,Carrier A,2.216142728771364,Road,Route A,393.8433485784279
68,SKU67,9,Carrier C,9.147811544710631,Sea,Route C,169.2718013847869
69,SKU68,8,Carrier B,1.1942518648849991,Rail,Route A,299.7063031181032
70,SKU69,3,Carrier B,9.705286790120349,Air,Route A,207.6632062085756
71,SKU70,4,Carrier B,6.315717754600723,Road,Route C,183.272898748711
72,SKU71,6,Carrier A,9.228190317052515,Road,Route A,405.1670678888559
73,SKU72,9,Carrier A,6.599614159689544,Rail,Route B,677.9445698461833
74,SKU73,5,Carrier B,1.5129368369160772,Road,Route A,866.4728001296578
75,SKU74,5,Carrier A,5.237654650037448,Rail,Route A,341.55265678322337
76,SKU75,10,Carrier C,2.473897761045461,Air,Route C,873.1296480176514
77,SKU76,10,Carrier A,7.054538336836926,Rail,Route A,997.4134501331946
78,SKU77,4,Carrier B,6.780946625617895,Road,Route B,852.56809891985
79,SKU78,5,Carrier B,8.46704977086199,Sea,Route C,323.59220343132216
80,SKU79,1,Carrier B,6.4963253642950445,Air,Route C,351.50421933503867
81,SKU80,2,Carrier C,2.8331846794189746,Sea,Route B,787.7798504943445
82,SKU81,5,Carrier B,4.066277501512044,Rail,Route B,276.77833594679885
83,SKU82,1,Carrier A,4.70818187354193,Road,Route C,589.9785556280407
84,SKU83,8,Carrier B,4.949839577996949,Road,Route A,682.9710182260933
85,SKU84,10,Carrier A,8.381615624922631,Air,Route B,465.457005963688
86,SKU85,2,Carrier C,8.249168704871728,Road,Route B,842.6868300046415
87,SKU86,6,Carrier B,1.4543053101535517,Rail,Route A,264.2548898358665
88,SKU87,10,Carrier A,6.575803797548535,Sea,Route B,879.3592177349243
89,SKU88,7,Carrier A,3.8012531329310777,Sea,Route A,103.91624796070496
90,SKU89,8,Carrier B,9.92981624527726,Rail,Route B,517.4999739290605
91,SKU90,7,Carrier B,7.674430708112694,Rail,Route B,990.0784725058112
92,SKU91,7,Carrier B,7.471514084401146,Rail,Route B,996.7783149506238
93,SKU92,8,Carrier B,4.469500026123601,Rail,Route B,230.0927825367629
94,SKU93,1,Carrier C,7.0064320590043945,Air,Route A,823.5238458881558
95,SKU94,9,Carrier B,6.942945942032581,Rail,Route B,846.6652569866948
96,SKU95,9,Carrier B,8.630338869602754,Air,Route A,778.8642413766479
97,SKU96,3,Carrier C,5.352878043996809,Road,Route A,188.74214114905692
98,SKU97,9,Carrier A,7.904845611209675,Road,Route A,540.1324228679678
99,SKU98,7,Carrier B,1.409801095138073,Rail,Route A,882.1988635470415
100,SKU99,6,Carrier B,1.3110237561206226,Rail,Route B,210.7430089642461
101,SKU100,4,Carrier B,9.406027,Air,Route C,367.466347
102,SKU101,4,Carrier C,10.434617,Sea,Route C,438.492351
103,SKU102,6,Carrier B,6.40311,Air,Route A,699.4575
104,SKU103,7,Carrier C,1.104855,Sea,Route B,614.801451
105,SKU104,6,Carrier B,4.988449,Air,Route A,330.311375
106,SKU105,6,Carrier A,2.25201,Air,Route C,491.601254
107,SKU106,9,Carrier B,6.444626,Air,Route C,302.914978
108,SKU107,3,Carrier B,6.797526,Air,Route B,212.905107
109,SKU108,9,Carrier B,3.754186,Air,Route A,223.072513
110,SKU109,3,Carrier C,5.932945,Road,Route A,520.371421
111,SKU110,2,Carrier C,5.254783,Air,Route A,801.010965
112,SKU111,7,Carrier A,8.543868,Air,Route B,412.299097
113,SKU112,7,Carrier A,5.668371,Road,Route C,659.031019
114,SKU113,2,Carrier A,10.412029,Air,Route C,401.15182
115,SKU114,10,Carrier C,8.641135,Road,Route B,234.986063
116,SKU115,11,Carrier A,5.442401,Rail,Route B,47.494267
117,SKU116,8,Carrier C,8.992114,Rail,Route B,581.137396
118,SKU117,5,Carrier A,6.085851,Rail,Route A,406.555363
119,SKU118,6,Carrier A,6.399508,Air,Route B,547.147001
120,SKU119,12,Carrier A,3.523821,Air,Route C,180.98648
121,SKU120,1,Carrier B,7.39545,Rail,Route A,350.845453
122,SKU121,2,Carrier B,3.867067,Air,Route C,451.150513
123,SKU122,5,Carrier C,9.23301,Rail,Route A,621.811716
124,SKU123,7,Carrier B,7.094346,Sea,Route B,654.5812
125,SKU124,5,Carrier A,4.559761,Rail,Route B,575.894336
126,SKU125,7,Carrier A,6.369254,Rail,Route B,677.326654
127,SKU126,7,Carrier C,4.38606,Road,Route C,169.804206
128,SKU127,0,Carrier C,7.354294,Air,Route A,987.51816
129,SKU128,8,Carrier A,2.542996,Air,Route C,787.870021
130,SKU129,7,Carrier B,9.716678,Sea,Route B,1062.638196
131,SKU130,10,Carrier B,2.354744,Rail,Route B,967.654614
132,SKU131,6,Carrier A,10.404714,Rail,Route A,407.530177
133,SKU132,2,Carrier A,6.024405,Air,Route B,1012.939144
134,SKU133,4,Carrier B,5.196226,Air,Route A,690.682127
135,SKU134,1,Carrier A,3.774121,Sea,Route B,179.021495
136,SKU135,5,Carrier A,9.515811,Air,Route C,481.972913
137,SKU136,2,Carrier A,7.691753,Air,Route B,94.064619
138,SKU137,5,Carrier C,8.419811,Sea,Route B,521.289297
139,SKU138,7,Carrier B,6.064806,Road,Route A,945.734128
140,SKU139,7,Carrier C,3.633575,Sea,Route C,671.921976
141,SKU140,2,Carrier B,10.75844,Air,Route C,450.142742
142,SKU141,8,Carrier A,8.002237,Rail,Route C,378.313465
143,SKU142,10,Carrier B,6.134157,Air,Route B,597.879555
144,SKU143,4,Carrier B,0.0,Sea,Route C,494.633949
145,SKU144,2,Carrier C,11.641395,Road,Route C,365.342179
146,SKU145,8,Carrier C,8.314263,Rail,Route B,303.498289
147,SKU146,3,Carrier A,7.001913,Sea,Route A,634.467873
148,SKU147,8,Carrier A,9.588875,Rail,Route C,857.816787
149,SKU148,5,Carrier A,8.737547,Air,Route C,836.381063
150,SKU149,8,Carrier A,8.397463,Rail,Route A,717.155259
151,SKU150,3,Carrier A,3.672808,Road,Route B,947.272579
152,SKU151,2,Carrier C,6.382908,Sea,Route A,401.804732
153,SKU152,11,Carrier A,6.097881,Air,Route A,691.704009
154,SKU153,10,Carrier B,9.567758,Sea,Route C,476.493917
155,SKU154,7,Carrier C,9.957762,Road,Route B,312.493026
156,SKU155,10,Carrier A,7.546382,Rail,Route C,642.149641
157,SKU156,10,Carrier A,4.096397,Air,Route A,824.486543
158,SKU157,2,Carrier C,4.829545,Rail,Route B,140.498237
159,SKU158,6,Carrier A,5.675793,Sea,Route C,405.639288
160,SKU159,4,Carrier B,6.881509,Air,Route C,579.76874
161,SKU160,8,Carrier B,6.346527,Road,Route C,834.947956
162,SKU161,3,Carrier B,9.64394,Road,Route A,708.569068
163,SKU162,4,Carrier C,7.117162,Air,Route B,647.905096
164,SKU163,3,Carrier A,5.714785,Road,Route C,825.403263
165,SKU164,3,Carrier A,4.821823,Road,Route C,383.328789
166,SKU165,3,Carrier C,3.595842,Rail,Route B,37.564149
167,SKU166,5,Carrier B,6.849736,Air,Route A,143.841395
168,SKU167,4,Carrier A,6.927282,Road,Route C,565.668013
169,SKU168,2,Carrier A,5.778154,Air,Route A,963.507949
170,SKU169,4,Carrier B,4.924625,Air,Route B,580.024937
171,SKU170,0,Carrier C,5.697596,Rail,Route B,474.389482
172,SKU171,5,Carrier C,3.683664,Rail,Route C,1117.452963
173,SKU172,8,Carrier A,4.051847,Air,Route C,222.266472
174,SKU173,5,Carrier A,7.009209,Sea,Route B,241.186653
175,SKU174,8,Carrier B,6.761595,Road,Route B,331.57783
176,SKU175,7,Carrier A,9.007098,Air,Route B,515.660407
177,SKU176,6,Carrier C,0.0,Rail,Route C,607.408319
178,SKU177,8,Carrier C,8.643873,Sea,Route B,519.032608
179,SKU178,5,Carrier A,4.996728,Air,Route B,705.698012
180,SKU179,8,Carrier B,4.564583,Sea,Route A,76.705693
181,SKU180,11,Carrier A,12.176095,Road,Route A,550.208048
182,SKU181,3,Carrier A,4.123756,Air,Route C,175.426498
183,SKU182,0,Carrier B,2.461809,Rail,Route B,503.505489
184,SKU183,4,Carrier C,4.270364,Sea,Route A,963.560133
185,SKU184,12,Carrier B,3.94592,Rail,Route C,1087.911636
186,SKU185,3,Carrier C,8.194284,Sea,Route C,803.179459
187,SKU186,14,Carrier A,3.428807,Sea,Route B,834.607485
188,SKU187,3,Carrier A,6.66564,Air,Route C,370.872822
189,SKU188,5,Carrier A,2.892804,Sea,Route C,669.524585
190,SKU189,11,Carrier B,1.266771,Sea,Route A,241.043173
191,SKU190,2,Carrier A,5.023859,Sea,Route B,0.0
192,SKU191,5,Carrier C,7.528261,Sea,Route A,393.865979
193,SKU192,3,Carrier C,8.055142,Air,Route B,340.657178
194,SKU193,6,Carrier C,7.857814,Rail,Route C,730.44887
195,SKU194,0,Carrier A,1.578568,Road,Route B,652.646673
196,SKU195,11,Carrier C,5.388121,Road,Route C,759.276843
197,SKU196,3,Carrier B,6.898649,Air,Route B,774.208514
198,SKU197,5,Carrier B,1.630534,Sea,Route C,799.409941
199,SKU198,8,Carrier B,9.233764,Sea,Route A,384.764696
200,SKU199,6,Carrier C,2.52315,Road,Route B,453.305289
201,SKU200,3,Carrier B,6.031711,Rail,Route C,486.031653
202,SKU201,8,Carrier A,7.803999,Sea,Route A,591.165179
203,SKU202,8,Carrier A,5.597693,Road,Route C,376.156694
204,SKU203,7,Carrier B,9.48396,Air,Route B,0.0
205,SKU204,8,Carrier A,4.135155,Air,Route A,522.429634
206,SKU205,4,Carrier C,4.969238,Rail,Route A,442.108785
207,SKU206,7,Carrier B,9.455783,Air,Route C,651.673036
208,SKU207,7,Carrier C,3.048584,Rail,Route C,263.791219
209,SKU208,6,Carrier B,0.589708,Road,Route A,777.359638
210,SKU209,5,Carrier B,5.916893,Rail,Route C,446.979921
211,SKU210,4,Carrier A,2.410379,Road,Route C,470.494017
212,SKU211,11,Carrier C,6.118811,Sea,Route B,198.278552
213,SKU212,6,Carrier C,7.316246,Rail,Route A,747.466638
214,SKU213,4,Carrier A,3.97108,Road,Route A,747.332116
215,SKU214,6,Carrier A,1.092269,Road,Route A,163.278908
216,SKU215,5,Carrier C,1.281408,Air,Route C,632.517816
217,SKU216,2,Carrier A,7.875819,Road,Route A,894.09361
218,SKU217,9,Carrier A,2.264178,Road,Route A,966.685774
219,SKU218,10,Carrier C,1.805475,Rail,Route A,0.0
220,SKU219,4,Carrier C,5.419385,Sea,Route A,312.260213
221,SKU220,6,Carrier B,7.826391,Rail,Route A,563.493816
222,SKU221,3,Carrier B,6.969566,Road,Route B,511.800723
223,SKU222,0,Carrier A,6.223644,Road,Route B,0.0
224,SKU223,9,Carrier A,9.488348,Road,Route C,566.097614
225,SKU224,2,Carrier A,10.331905,Rail,Route A,597.054238
226,SKU225,4,Carrier C,10.036907,Air,Route C,198.746477
227,SKU226,8,Carrier A,2.58678,Road,Route B,540.497485
228,SKU227,6,Carrier C,5.088188,Road,Route B,884.289071
229,SKU228,3,Carrier C,10.046122,Rail,Route B,407.378447
230,SKU229,4,Carrier B,8.382159,Sea,Route C,576.598775
231,SKU230,6,Carrier C,8.130634,Rail,Route B,475.549711
232,SKU231,7,Carrier B,4.875554,Rail,Route A,0.0
233,SKU232,7,Carrier B,9.755193,Air,Route B,933.322935
234,SKU233,4,Carrier C,3.805055,Rail,Route C,629.379331
235,SKU234,6,Carrier B,6.48366,Road,Route B,793.370428
236,SKU235,9,Carrier B,7.713382,Rail,Route A,841.591864
237,SKU236,6,Carrier A,8.71406,Rail,Route C,155.867151
238,SKU237,1,Carrier A,10.348513,Sea,Route C,406.012761
239,SKU238,7,Carrier A,9.876017,Rail,Route B,261.883586
240,SKU239,4,Carrier A,7.484475,Sea,Route A,667.304368
241,SKU240,7,Carrier A,1.966098,Sea,Route A,723.745727
242,SKU241,1,Carrier B,7.237931,Road,Route B,792.346243
243,SKU242,2,Carrier C,5.003435,Sea,Route C,377.006189
244,SKU243,2,Carrier C,7.837037,Sea,Route C,617.228982
245,SKU244,7,Carrier A,5.946791,Air,Route A,639.447954
246,SKU245,6,Carrier C,6.747794,Sea,Route C,483.577196
247,SKU246,9,Carrier B,4.262866,Rail,Route A,403.607979
248,SKU247,6,Carrier B,5.2816,Sea,Route B,738.488437
249,SKU248,6,Carrier C,6.089661,Sea,Route C,461.461386
250,SKU249,4,Carrier A,4.125897,Road,Route A,653.605441
251,SKU250,7,Carrier B,1.902327,Road,Route B,751.435971
252,SKU251,6,Carrier C,4.47319,Air,Route A,972.504795
253,SKU252,8,Carrier A,7.872491,Road,Route B,160.57823
254,SKU253,9,Carrier A,10.040352,Road,Route B,404.839768
255,SKU254,4,Carrier C,1.885457,Road,Route A,105.432741
256,SKU255,8,Carrier C,4.924096,Road,Route B,634.83688
257,SKU256,3,Carrier C,10.585358,Air,Route B,475.531341
258,SKU257,7,Carrier B,9.744033,Road,Route B,186.017747
259,SKU258,9,Carrier A,6.29417,Road,Route B,305.654833
260,SKU259,7,Carrier A,2.956774,Rail,Route A,586.870955
261,SKU260,10,Carrier A,3.164833,Air,Route A,620.110038
262,SKU261,10,Carrier C,4.222196,Sea,Route B,842.529738
263,SKU262,9,Carrier A,4.918684,Sea,Route A,0.0
264,SKU263,1,Carrier A,10.77441,Sea,Route C,398.873508
265,SKU264,4,Carrier A,0.981092,Rail,Route C,230.621065
266,SKU265,3,Carrier C,2.324354,Road,Route B,598.904379
267,SKU266,3,Carrier B,2.134943,Sea,Route B,284.051101
268,SKU267,9,Carrier B,3.69424,Sea,Route B,430.884395
269,SKU268,5,Carrier A,7.923477,Air,Route C,704.954341
270,SKU269,1,Carrier B,10.015922,Air,Route B,660.200148
271,SKU270,5,Carrier A,2.731637,Sea,Route B,625.306863
272,SKU271,7,Carrier C,6.313068,Rail,Route C,360.403741
273,SKU272,4,Carrier C,2.561091,Road,Route B,824.061511
274,SKU273,7,Carrier A,6.502242,Sea,Route C,343.74146
275,SKU274,7,Carrier C,7.282334,Road,Route C,245.603187
276,SKU275,6,Carrier B,7.386856,Air,Route A,656.920554
277,SKU276,0,Carrier A,5.545124,Rail,Route A,320.851411
278,SKU277,5,Carrier C,5.75116,Sea,Route A,265.058898
279,SKU278,2,Carrier C,8.720388,Road,Route B,276.576568
280,SKU279,5,Carrier C,2.725674,Rail,Route C,178.925184
281,SKU280,8,Carrier C,8.457767,Air,Route A,640.046863
282,SKU281,5,Carrier C,1.874907,Road,Route B,185.698064
283,SKU282,8,Carrier B,4.667612,Road,Route B,665.206644
284,SKU283,5,Carrier C,9.365552,Rail,Route A,176.512608
285,SKU284,7,Carrier B,6.355722,Rail,Route A,58.490728
286,SKU285,9,Carrier C,3.901723,Road,Route C,520.03836
287,SKU286,6,Carrier C,3.776511,Sea,Route B,769.857997
288,SKU287,3,Carrier C,3.864305,Sea,Route C,196.805342
289,SKU288,8,Carrier B,6.434928,Air,Route B,328.818161
290,SKU289,3,Carrier A,4.798524,Sea,Route B,285.630773
291,SKU290,7,Carrier A,5.046496,Rail,Route B,384.041509
292,SKU291,5,Carrier C,5.088077,Rail,Route A,616.290774
293,SKU292,5,Carrier C,5.385766,Rail,Route A,902.749425
294,SKU293,2,Carrier A,7.916511,Air,Route A,539.383947
295,SKU294,4,Carrier A,6.11488,Sea,Route B,421.27368
296,SKU295,4,Carrier A,12.534179,Sea,Route B,273.862864
297,SKU296,0,Carrier C,6.073119,Air,Route C,587.268061
298,SKU297,4,Carrier C,5.255356,Air,Route B,278.464959
299,SKU298,5,Carrier C,9.689591,Sea,Route C,216.395679
300,SKU299,6,Carrier A,2.393992,Road,Route C,494.769541
301,SKU300,5,Carrier B,9.935282,Air,Route C,415.367323
302,SKU301,9,Carrier B,4.326875,Air,Route B,824.04852
303,SKU302,6,Carrier B,3.49324,Road,Route C,290.855304
304,SKU303,4,Carrier B,5.839312,Sea,Route B,170.079267
305,SKU304,7,Carrier B,1.159026,Sea,Route C,237.422958
306,SKU305,6,Carrier A,6.994663,Sea,Route C,638.132736
307,SKU306,7,Carrier A,0.640128,Sea,Route A,748.58102
308,SKU307,12,Carrier B,7.053196,Air,Route C,507.675895
309,SKU308,3,Carrier B,6.465046,Rail,Route A,121.606644
310,SKU309,1,Carrier B,4.304915,Rail,Route C,446.927023
311,SKU310,7,Carrier B,3.542101,Sea,Route C,276.09571
312,SKU311,4,Carrier A,1.377994,Rail,Route B,635.333815
313,SKU312,0,Carrier C,3.576502,Air,Route B,255.881407
314,SKU313,6,Carrier A,4.123311,Sea,Route B,571.969108
315,SKU314,4,Carrier A,1.271498,Sea,Route A,866.224932
316,SKU315,9,Carrier C,5.411324,Air,Route A,377.638734
317,SKU316,6,Carrier C,10.984775,Sea,Route B,302.44768
318,SKU317,5,Carrier C,5.554185,Sea,Route C,974.355969
319,SKU318,8,Carrier B,4.839439,Road,Route A,822.652326
320,SKU319,9,Carrier B,7.272473,Air,Route B,434.299273
321,SKU320,6,Carrier C,7.334612,Air,Route B,355.5569
322,SKU321,3,Carrier B,2.577523,Road,Route A,672.742119
323,SKU322,8,Carrier B,5.346627,Rail,Route B,377.639361
324,SKU323,6,Carrier A,6.791848,Rail,Route A,453.327314
325,SKU324,4,Carrier B,1.397254,Air,Route C,414.296962
326,SKU325,4,Carrier C,1.519532,Road,Route C,354.3536
327,SKU326,3,Carrier C,5.665171,Road,Route B,86.891645
328,SKU327,1,Carrier C,6.875771,Road,Route A,516.0306
329,SKU328,1,Carrier A,3.957476,Air,Route C,394.154983
330,SKU329,6,Carrier B,8.328482,Air,Route A,141.223307
331,SKU330,2,Carrier C,1.92459,Rail,Route A,497.075085
332,SKU331,8,Carrier A,5.400062,Road,Route B,443.12289
333,SKU332,6,Carrier C,8.450733,Road,Route A,469.409919
334,SKU333,4,Carrier A,4.23551,Road,Route A,655.414435
335,SKU334,7,Carrier A,8.138171,Road,Route B,406.947657
336,SKU335,5,Carrier A,5.517676,Rail,Route B,302.317545
337,SKU336,4,Carrier B,2.052192,Sea,Route C,483.519653
338,SKU337,11,Carrier C,6.64342,Sea,Route C,394.149216
339,SKU338,0,Carrier A,0.743969,Road,Route C,589.095325
340,SKU339,4,Carrier A,7.27716,Road,Route B,382.58723
341,SKU340,5,Carrier B,4.364166,Sea,Route A,383.67844
342,SKU341,11,Carrier C,4.332585,Sea,Route B,442.367659
343,SKU342,3,Carrier A,2.016994,Rail,Route B,214.137128
344,SKU343,5,Carrier C,7.116546,Road,Route A,427.672783
345,SKU344,5,Carrier C,7.643466,Air,Route C,503.066153
346,SKU345,6,Carrier A,6.605208,Sea,Route A,524.060243
347,SKU346,8,Carrier B,5.32994,Sea,Route B,731.968999
348,SKU347,6,Carrier C,4.021184,Rail,Route B,726.947252
349,SKU348,7,Carrier B,6.550195,Sea,Route C,223.673929
350,SKU349,6,Carrier B,3.830484,Sea,Route C,250.103783
351,SKU350,7,Carrier B,2.197784,Air,Route B,425.351857
352,SKU351,3,Carrier A,0.0,Sea,Route B,903.102596
353,SKU352,5,Carrier C,6.885712,Sea,Route B,514.611689
354,SKU353,9,Carrier C,3.241313,Rail,Route C,672.690795
355,SKU354,5,Carrier B,5.681468,Air,Route C,917.229621
356,SKU355,7,Carrier C,2.969488,Sea,Route C,612.693002
357,SKU356,9,Carrier A,0.680861,Air,Route A,472.16198
358,SKU357,6,Carrier C,4.432992,Sea,Route A,702.82589
359,SKU358,7,Carrier A,4.249616,Rail,Route C,268.803169
360,SKU359,8,Carrier C,5.913927,Road,Route B,0.0
361,SKU360,5,Carrier C,7.071855,Air,Route B,550.934134
362,SKU361,3,Carrier A,9.371148,Road,Route B,559.013505
363,SKU362,6,Carrier C,13.501216,Road,Route B,609.599258
364,SKU363,8,Carrier C,2.186616,Rail,Route A,534.86543
365,SKU364,1,Carrier C,5.709935,Rail,Route B,588.996457
366,SKU365,9,Carrier B,7.805148,Air,Route B,0.0
367,SKU366,4,Carrier C,4.663747,Air,Route C,300.70398
368,SKU367,10,Carrier C,8.446161,Rail,Route C,1033.698044
369,SKU368,3,Carrier A,3.525096,Road,Route C,850.938897
370,SKU369,6,Carrier C,0.922289,Road,Route A,288.400195
371,SKU370,6,Carrier B,6.583951,Road,Route C,552.043901
372,SKU371,6,Carrier C,8.469715,Rail,Route B,526.452852
373,SKU372,8,Carrier C,7.206894,Road,Route C,194.728634
374,SKU373,4,Carrier C,1.86972,Road,Route C,313.259793
375,SKU374,6,Carrier C,0.0,Air,Route B,604.025738
376,SKU375,5,Carrier A,5.064497,Sea,Route C,572.374951
377,SKU376,8,Carrier A,1.989499,Air,Route C,423.235812
378,SKU377,4,Carrier A,6.768142,Rail,Route A,663.867911
379,SKU378,3,Carrier A,7.718548,Road,Route B,549.696733
380,SKU379,12,Carrier C,3.347762,Air,Route A,881.724323
381,SKU380,9,Carrier B,5.095003,Sea,Route B,421.120075
382,SKU381,12,Carrier A,6.699752,Air,Route C,959.696346
383,SKU382,9,Carrier B,3.40849,Road,Route C,468.565412
384,SKU383,7,Carrier C,7.499476,Road,Route A,490.398595
385,SKU384,2,Carrier B,3.703034,Road,Route A,367.573835
386,SKU385,7,Carrier C,5.788462,Air,Route B,185.830664
387,SKU386,5,Carrier C,6.476637,Air,Route C,617.097235
388,SKU387,8,Carrier C,5.184327,Air,Route C,888.92351
389,SKU388,6,Carrier A,8.059686,Road,Route A,482.136227
390,SKU389,3,Carrier A,5.001162,Road,Route B,1058.829444
391,SKU390,8,Carrier B,10.345465,Rail,Route A,234.877833
392,SKU391,8,Carrier B,4.420571,Sea,Route C,1078.116517
393,SKU392,6,Carrier B,4.733337,Sea,Route A,1047.90568
394,SKU393,3,Carrier A,0.384523,Sea,Route B,469.181972
395,SKU394,4,Carrier C,6.628283,Sea,Route B,945.549029
396,SKU395,9,Carrier A,5.793909,Air,Route A,749.038625
397,SKU396,11,Carrier C,6.088082,Air,Route C,731.357638
398,SKU397,9,Carrier C,8.218483,Rail,Route C,356.662483
399,SKU398,0,Carrier A,5.649711,Rail,Route B,480.248453
400,SKU399,0,Carrier C,4.406047,Air,Route B,337.732492
401,SKU400,7,Carrier B,8.116922,Air,Route A,1239.233948
402,SKU401,4,Carrier B,8.402987,Road,Route B,385.076201
403,SKU402,8,Carrier A,5.500941,Sea,Route B,103.544487
404,SKU403,3,Carrier A,1.842122,Rail,Route A,416.140553
405,SKU404,6,Carrier C,12.97696,Road,Route A,1325.530247
406,SKU405,11,Carrier B,0.0,Rail,Route C,899.83499
407,SKU406,5,Carrier A,6.263648,Sea,Route A,75.770352
408,SKU407,2,Carrier C,3.988307,Rail,Route A,239.3921
409,SKU408,4,Carrier B,6.439998,Road,Route A,336.529586
