manufacturing_id,sku,supplier_id,location,supplier_lead_time_days,production_volume,manufacturing_lead_time_days,manufacturing_cost,inspection_result,defect_rate
50,SKU49,5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132
51,SKU50,2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185
52,SKU51,5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571
53,SKU52,1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247
54,SKU53,1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271
55,SKU54,1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748
56,SKU55,2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385
57,SKU56,1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454
58,SKU57,2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707
59,SKU58,3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968
60,SKU59,1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232
61,SKU60,4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054
62,SKU61,4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053
63,SKU62,2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749
64,SKU63,3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337
65,SKU64,1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146
66,SKU65,5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331
67,SKU66,5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618
68,SKU67,1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148
69,SKU68,2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418
70,SKU69,4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086
71,SKU70,1,Bangalore,22,775,16,11.440781823761265,Pass,1.830575598612232
72,SKU71,2,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969
73,SKU72,1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309
74,SKU73,4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706
75,SKU74,4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354
76,SKU75,1,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752
77,SKU76,2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165
78,SKU77,1,Kolkata,26,334,5,42.95244474899184,Pass,3.055141818307548
79,SKU78,5,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452
80,SKU79,3,Bangalore,5,228,12,57.87090292403628,Pending,0.1658716274806082
81,SKU80,3,Chennai,8,202,5,76.96122802382001,Fail,2.8496621985053308
82,SKU81,3,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712
83,SKU82,2,Mumbai,6,955,26,4.46527843494324,Pending,4.137877048622357
84,SKU83,1,Bangalore,20,443,5,97.73059380053304,Fail,0.7730061340672478
85,SKU84,5,Chennai,24,589,22,33.808636513209095,Pass,4.843456577118041
86,SKU85,5,Chennai,4,211,2,69.9293455186723,Fail,1.3744289997457582
87,SKU86,1,Mumbai,4,569,18,74.60896999519468,Pass,2.0515129307662465
88,SKU87,3,Chennai,27,523,17,28.69699682414317,Fail,3.693737787839276
89,SKU88,2,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931
90,SKU89,1,Kolkata,23,370,11,46.60387338164447,Pending,1.9076657339590744
91,SKU90,3,Bangalore,8,585,8,85.67596333579797,Pass,1.2193822244013883
92,SKU91,4,Delhi,5,207,28,39.772882502339975,Pending,0.6260018582093946
93,SKU92,2,Mumbai,4,671,29,62.61269039561434,Pass,0.3334318252247392
94,SKU93,4,Chennai,21,824,20,35.63365234334388,Fail,4.165781795424145
95,SKU94,2,Delhi,12,908,14,60.38737861486212,Pass,1.4636074984727798
96,SKU95,4,Mumbai,18,450,26,58.89068576858998,Pending,1.2108821295850665
97,SKU96,3,Mumbai,28,648,28,17.80375633139127,Pending,3.872047681482133
98,SKU97,4,Mumbai,10,535,13,65.76515592636746,Fail,3.376237834717981
99,SKU98,5,Chennai,28,581,9,5.604690864371781,Pending,2.908122169351261
100,SKU99,2,Chennai,29,921,2,38.07289852062604,Fail,0.3460272907055034
101,SKU100,2,Bangalore,31,574,11,31.930375,Pass,2.106344
102,SKU101,4,Chennai,14,666,4,35.470633,Fail,0.273579
103,SKU102,3,Mumbai,14,720,23,73.057058,Pending,3.374955
104,SKU103,2,Delhi,20,970,14,92.387203,Pending,1.383104
105,SKU104,4,Kolkata,13,184,23,44.231334,Fail,0.888046
106,SKU105,2,Mumbai,14,358,13,58.918535,Pending,1.31351
107,SKU106,4,Delhi,17,222,9,43.307555,Fail,4.314736
108,SKU107,1,Mumbai,27,796,17,5.640151,Fail,3.460045
109,SKU108,4,Bangalore,19,84,25,18.850684,Fail,0.686524
110,SKU109,2,Delhi,20,784,15,89.183074,Pass,0.232188
111,SKU110,1,Mumbai,2,855,12,65.581791,Pass,0.706502
112,SKU111,4,Delhi,7,175,16,22.583789,Fail,0.949019
113,SKU112,5,Bangalore,11,226,0,22.537073,Fail,3.49856
114,SKU113,5,Chennai,14,354,21,64.56625,Pending,5.349708
115,SKU114,4,Kolkata,22,297,17,61.14384,Pass,2.956278
116,SKU115,2,Delhi,20,720,9,72.550161,Fail,4.717482
117,SKU116,2,Delhi,17,670,14,41.493272,Fail,5.221184
118,SKU117,5,Kolkata,17,260,19,5.113194,Pending,3.955636
119,SKU118,3,Delhi,10,697,16,5.578825,Pending,1.049749
120,SKU119,5,Mumbai,16,411,12,26.001025,Fail,2.047821
121,SKU120,1,Delhi,16,877,11,0.0,Fail,4.245743
122,SKU121,3,Delhi,9,392,18,61.524252,Fail,1.073368
123,SKU122,1,Delhi,14,454,12,0.0,Pass,4.377285
124,SKU123,1,Chennai,7,410,0,73.641687,Pass,0.675893
125,SKU124,5,Mumbai,10,557,7,50.799453,Pass,5.14665
126,SKU125,5,Bangalore,16,318,1,53.134089,Pending,1.155967
127,SKU126,5,Kolkata,31,339,3,73.975397,Pass,5.053527
128,SKU127,1,Bangalore,12,766,19,19.076382,Pending,2.692985
129,SKU128,4,Chennai,19,397,15,22.454469,Pass,1.717999
130,SKU129,5,Mumbai,24,735,11,60.494777,Pass,2.698502
131,SKU130,1,Chennai,3,630,22,4.627869,Pass,3.940223
132,SKU131,3,Chennai,15,312,11,58.14712,Pass,4.333536
133,SKU132,3,Mumbai,40,596,21,61.137827,Pass,2.602694
134,SKU133,1,Bangalore,21,913,13,19.941955,Fail,1.942904
135,SKU134,3,Mumbai,11,359,13,47.286854,Pending,2.507269
136,SKU135,4,Mumbai,28,25,12,36.555244,Pending,2.436714
137,SKU136,5,Mumbai,1,1017,19,83.308033,Pending,2.888327
138,SKU137,4,Bangalore,6,1027,0,96.18836,Pass,3.690227
139,SKU138,1,Mumbai,8,550,0,31.078241,Fail,2.734023
140,SKU139,2,Bangalore,15,884,17,59.733423,Pass,2.091483
141,SKU140,1,Mumbai,17,753,10,65.503791,Fail,3.691291
142,SKU141,3,Kolkata,4,553,22,51.126533,Fail,2.797016
143,SKU142,1,Bangalore,13,917,18,106.164429,Pending,2.982622
144,SKU143,4,Mumbai,13,948,29,32.188684,Fail,2.264269
145,SKU144,3,Bangalore,11,529,9,33.529121,Pass,3.145665
146,SKU145,5,Chennai,19,171,28,99.055429,Fail,0.0
147,SKU146,2,Bangalore,17,0,7,82.034069,Fail,2.77609
148,SKU147,4,Chennai,14,350,9,61.540004,Fail,2.318954
149,SKU148,2,Chennai,4,422,19,61.409198,Pending,1.399237
150,SKU149,1,Kolkata,6,521,21,75.738276,Fail,1.225252
151,SKU150,3,Mumbai,11,699,30,119.808915,Fail,0.0
152,SKU151,2,Chennai,4,1082,32,36.162494,Fail,5.871952
153,SKU152,3,Mumbai,0,497,14,42.104424,Fail,1.212979
154,SKU153,1,Bangalore,21,746,10,78.671087,Pass,5.353552
155,SKU154,2,Chennai,15,561,34,97.084828,Fail,2.91159
156,SKU155,4,Bangalore,3,1092,14,98.621468,Fail,4.192047
157,SKU156,1,Chennai,11,561,25,62.942797,Pass,1.73827
158,SKU157,1,Chennai,26,439,1,34.920895,Pass,0.391992
159,SKU158,4,Kolkata,11,760,14,49.53434,Fail,0.0
160,SKU159,3,Chennai,27,525,20,20.81804,Pass,2.202088
161,SKU160,1,Mumbai,10,480,17,29.839042,Fail,1.802117
162,SKU161,3,Mumbai,0,1031,15,40.564869,Fail,4.122593
163,SKU162,5,Delhi,25,502,18,41.819373,Fail,3.081349
164,SKU163,2,Mumbai,3,683,15,63.199157,Pass,1.60593
165,SKU164,1,Delhi,24,380,23,38.761063,Fail,4.091425
166,SKU165,5,Kolkata,24,214,21,2.581988,Fail,0.18971
167,SKU166,4,Delhi,26,216,22,95.991706,Pending,3.543011
168,SKU167,3,Bangalore,29,250,10,6.688089,Fail,4.041051
169,SKU168,5,Delhi,23,279,0,58.472353,Pass,5.90208
170,SKU169,5,Kolkata,13,426,16,63.031947,Fail,1.949786
171,SKU170,4,Chennai,22,758,11,0.0,Pass,4.104067
172,SKU171,4,Mumbai,18,569,19,81.60203,Pending,3.00349
173,SKU172,2,Chennai,14,425,18,4.618488,Pending,2.543771
174,SKU173,5,Mumbai,26,652,19,43.902584,Pending,3.938147
175,SKU174,3,Chennai,11,775,26,43.719271,Pending,2.414099
176,SKU175,1,Delhi,20,326,20,82.581954,Fail,3.676235
177,SKU176,1,Bangalore,26,441,12,53.336151,Pending,2.037877
178,SKU177,5,Mumbai,16,545,22,63.932224,Pass,0.537984
179,SKU178,1,Kolkata,10,636,2,68.025046,Pass,4.380433
180,SKU179,1,Bangalore,31,241,9,66.638248,Fail,0.214797
181,SKU180,5,Bangalore,14,566,26,79.446589,Fail,1.3331
182,SKU181,4,Bangalore,14,636,25,38.493618,Pass,2.718867
183,SKU182,1,Bangalore,0,594,16,33.876826,Pending,1.773937
184,SKU183,4,Kolkata,0,799,21,39.153892,Fail,2.787946
185,SKU184,3,Mumbai,31,302,15,59.632716,Pending,3.284962
186,SKU185,4,Delhi,11,552,9,64.640668,Pass,2.463932
187,SKU186,5,Kolkata,0,535,7,32.061052,Pending,1.53221
188,SKU187,5,Mumbai,17,937,14,60.311993,Pass,2.81155
189,SKU188,5,Kolkata,27,525,26,44.637598,Pass,0.0
190,SKU189,2,Bangalore,21,562,7,56.620424,Fail,4.014262
191,SKU190,3,Delhi,20,793,18,2.254404,Fail,0.200744
192,SKU191,5,Kolkata,25,697,15,51.716786,Pending,3.56931
193,SKU192,3,Chennai,32,436,22,0.376496,Fail,1.55616
194,SKU193,3,Delhi,16,817,29,85.185622,Pending,0.802152
195,SKU194,3,Chennai,24,871,16,33.281426,Pass,3.404687
196,SKU195,5,Chennai,30,382,18,69.439819,Pending,0.0
197,SKU196,2,Mumbai,16,780,17,48.869357,Pass,5.980356
198,SKU197,4,Chennai,11,1032,4,73.77286,Pending,2.658643
199,SKU198,4,Chennai,44,462,16,53.831659,Fail,0.0
200,SKU199,5,Delhi,2,188,7,34.473822,Pending,3.092758
201,SKU200,1,Chennai,7,735,19,0.0,Pending,1.488088
202,SKU201,3,Kolkata,32,493,16,44.82552,Pending,0.060443
203,SKU202,4,Bangalore,23,554,29,44.85584,Pass,0.0
204,SKU203,5,Mumbai,5,820,8,16.131045,Pass,3.140213
205,SKU204,5,Mumbai,25,884,2,52.474273,Pass,2.488341
206,SKU205,1,Kolkata,16,144,19,25.479818,Pass,2.8973
207,SKU206,3,Kolkata,13,1039,26,53.31276,Fail,1.562299
208,SKU207,3,Bangalore,9,512,20,29.513463,Fail,3.665907
209,SKU208,4,Delhi,7,637,10,0.0,Pass,2.081911
210,SKU209,4,Mumbai,8,552,26,65.457885,Pending,4.073075
211,SKU210,3,Bangalore,32,830,19,53.895648,Pass,4.428972
212,SKU211,4,Mumbai,21,573,21,64.333171,Fail,1.897719
213,SKU212,2,Delhi,23,464,13,25.836512,Pending,1.118284
214,SKU213,3,Kolkata,13,794,23,49.014504,Pass,0.575905
215,SKU214,1,Chennai,11,739,16,55.391246,Fail,4.557587
216,SKU215,1,Kolkata,10,913,7,92.923059,Fail,2.143046
217,SKU216,5,Chennai,13,422,2,148.079289,Pass,0.149307
218,SKU217,3,Kolkata,10,763,5,67.69583,Pending,2.99225
219,SKU218,3,Delhi,19,455,16,7.438854,Fail,4.29122
220,SKU219,2,Chennai,25,0,36,72.002822,Fail,4.264593
221,SKU220,3,Delhi,22,752,8,13.47859,Pass,2.483654
222,SKU221,3,Kolkata,27,828,22,45.126629,Pass,1.979191
223,SKU222,3,Kolkata,14,171,12,72.943174,Pending,3.113529
224,SKU223,5,Mumbai,11,770,25,103.058899,Pass,1.740214
225,SKU224,2,Delhi,11,527,10,51.881229,Fail,3.00677
226,SKU225,3,Bangalore,19,384,30,50.70538,Fail,3.656237
227,SKU226,4,Kolkata,9,512,17,95.261542,Pending,3.330936
228,SKU227,4,Delhi,19,646,0,64.063078,Pass,4.821124
229,SKU228,1,Mumbai,14,416,17,61.676394,Pass,2.963468
230,SKU229,2,Mumbai,26,506,24,59.842234,Fail,3.059903
231,SKU230,1,Mumbai,8,385,10,62.916965,Pass,0.766614
232,SKU231,4,Kolkata,5,364,8,15.774754,Pending,3.825532
233,SKU232,4,Chennai,11,823,23,11.34324,Pending,2.357034
234,SKU233,5,Bangalore,19,578,28,32.756894,Pending,4.997617
235,SKU234,3,Chennai,17,793,13,48.369384,Pending,0.170848
236,SKU235,3,Mumbai,0,519,13,88.508896,Pass,1.751145
237,SKU236,4,Chennai,13,77,20,28.94439,Pass,0.547335
238,SKU237,2,Chennai,29,272,21,20.793558,Pass,1.632954
239,SKU238,5,Mumbai,11,369,9,71.797299,Pass,2.049249
240,SKU239,2,Bangalore,2,491,24,61.589294,Fail,3.795923
241,SKU240,2,Chennai,14,656,18,60.799227,Fail,0.044374
242,SKU241,5,Kolkata,8,859,15,15.285931,Fail,5.20308
243,SKU242,2,Delhi,22,0,3,80.166185,Fail,2.250269
244,SKU243,3,Bangalore,5,466,16,31.858408,Pending,1.789854
245,SKU244,4,Delhi,24,357,13,74.130938,Fail,2.65705
246,SKU245,2,Bangalore,10,61,29,18.261507,Fail,1.308354
247,SKU246,4,Mumbai,14,213,6,53.013942,Fail,2.694075
248,SKU247,1,Mumbai,8,825,5,32.718244,Pending,4.94177
249,SKU248,4,Delhi,15,439,18,54.820703,Pending,0.452181
250,SKU249,2,Mumbai,11,777,26,21.976364,Pending,1.504751
251,SKU250,1,Kolkata,19,751,16,59.656029,Pending,4.262139
252,SKU251,4,Mumbai,31,521,17,21.036015,Fail,0.0
253,SKU252,1,Delhi,31,428,18,26.187696,Pending,3.379207
254,SKU253,5,Bangalore,20,707,6,18.977413,Fail,5.101876
255,SKU254,5,Mumbai,15,777,6,21.883288,Pending,0.44461
256,SKU255,4,Mumbai,32,454,16,65.043217,Pending,1.672056
257,SKU256,5,Kolkata,24,742,16,42.053313,Pending,1.831394
258,SKU257,4,Kolkata,11,766,15,33.782268,Fail,3.086409
259,SKU258,2,Delhi,15,422,3,61.236953,Pass,2.948439
260,SKU259,4,Mumbai,11,368,29,49.276738,Pass,1.424318
261,SKU260,4,Delhi,11,453,10,100.649808,Pass,2.511284
262,SKU261,2,Chennai,14,498,15,92.794964,Fail,2.194876
263,SKU262,3,Bangalore,28,957,2,90.096797,Pending,1.925719
264,SKU263,1,Mumbai,8,904,11,19.797238,Fail,1.733838
265,SKU264,1,Kolkata,30,817,6,60.920469,Pass,1.887997
266,SKU265,2,Bangalore,0,470,6,0.224674,Fail,0.157738
267,SKU266,4,Mumbai,6,445,2,69.22089,Pending,0.610972
268,SKU267,2,Delhi,2,27,28,79.158298,Fail,2.194961
269,SKU268,4,Delhi,21,804,30,94.077647,Fail,3.610971
270,SKU269,4,Kolkata,8,1068,3,52.73083,Pass,3.97386
271,SKU270,4,Chennai,15,628,0,64.662881,Pending,2.710692
272,SKU271,2,Bangalore,16,776,0,46.938222,Pass,4.509326
273,SKU272,5,Delhi,17,848,16,31.061533,Pass,3.752493
274,SKU273,5,Delhi,7,685,33,18.003503,Fail,1.202112
275,SKU274,5,Delhi,6,567,10,15.771356,Fail,3.49092
276,SKU275,3,Chennai,24,832,26,13.387133,Pass,2.572545
277,SKU276,5,Bangalore,11,325,13,41.114782,Fail,3.672974
278,SKU277,1,Bangalore,36,879,17,76.882474,Pending,1.033129
279,SKU278,5,Kolkata,20,854,19,26.886329,Pass,3.583829
280,SKU279,2,Bangalore,18,414,13,70.551431,Pending,1.892357
281,SKU280,2,Chennai,34,934,20,2.730614,Pass,2.469488
282,SKU281,2,Delhi,18,376,24,52.370547,Fail,2.532032
283,SKU282,4,Kolkata,8,316,19,42.683374,Pass,1.668684
284,SKU283,3,Delhi,13,805,16,48.581389,Pending,1.547544
285,SKU284,2,Bangalore,24,315,29,30.489517,Pass,0.570289
286,SKU285,5,Mumbai,12,966,15,6.692254,Pending,0.660875
287,SKU286,5,Kolkata,18,335,27,36.805679,Pending,1.475166
288,SKU287,1,Kolkata,35,209,9,51.383207,Pending,2.380764
289,SKU288,2,Delhi,15,444,12,47.272076,Pending,3.950188
290,SKU289,3,Chennai,34,294,8,87.187236,Pass,5.036588
291,SKU290,3,Mumbai,18,498,19,36.899913,Pending,5.917779
292,SKU291,2,Delhi,16,657,25,69.628024,Pass,2.070471
293,SKU292,3,Delhi,17,615,26,64.658474,Pending,1.040445
294,SKU293,5,Kolkata,5,775,24,26.224944,Pending,2.893768
295,SKU294,2,Bangalore,12,934,11,61.980415,Fail,1.572253
296,SKU295,3,Kolkata,21,746,16,38.950165,Pending,3.38474
297,SKU296,1,Delhi,19,578,10,65.93231,Fail,0.0
298,SKU297,2,Delhi,17,808,8,38.269748,Pass,4.121784
299,SKU298,1,Delhi,18,582,17,77.705807,Pending,2.292199
300,SKU299,5,Kolkata,12,423,23,77.838769,Pass,3.087501
301,SKU300,1,Kolkata,19,1063,21,52.686184,Fail,3.254711
302,SKU301,5,Kolkata,0,432,0,62.076196,Pending,0.663242
303,SKU302,1,Kolkata,14,651,29,51.3007,Pending,3.725554
304,SKU303,5,Bangalore,24,350,14,69.962745,Fail,3.336803
305,SKU304,4,Chennai,26,474,29,86.009677,Pass,0.0
306,SKU305,3,Bangalore,17,712,28,76.213884,Fail,0.0
307,SKU306,2,Chennai,25,832,10,0.0,Pass,4.466281
308,SKU307,3,Kolkata,16,505,25,52.642481,Pending,3.133083
309,SKU308,2,Delhi,18,588,16,10.513425,Pass,2.829039
310,SKU309,4,Kolkata,4,358,22,62.009992,Pending,0.0
311,SKU310,3,Bangalore,16,440,20,47.919312,Fail,0.233413
312,SKU311,4,Delhi,14,805,3,85.253919,Pending,1.858144
313,SKU312,4,Kolkata,12,562,9,53.17144,Fail,3.390776
314,SKU313,1,Bangalore,19,303,10,88.406158,Pending,0.283135
315,SKU314,3,Delhi,14,464,19,43.317822,Pass,2.846398
316,SKU315,1,Bangalore,6,715,21,53.078731,Pass,3.143026
317,SKU316,1,Mumbai,22,490,38,36.28551,Fail,1.48862
318,SKU317,5,Delhi,25,569,20,94.512995,Pass,1.623312
319,SKU318,2,Delhi,1,319,9,35.935204,Pass,1.228722
320,SKU319,3,Mumbai,13,662,36,26.617746,Fail,0.0
321,SKU320,4,Bangalore,19,822,16,41.5088,Pass,0.0
322,SKU321,1,Chennai,33,506,2,28.568026,Pending,2.343304
323,SKU322,2,Kolkata,16,637,9,52.381876,Pass,0.0
324,SKU323,5,Mumbai,26,620,29,65.202095,Pass,0.853874
325,SKU324,3,Bangalore,6,588,16,91.166045,Pass,2.388733
326,SKU325,1,Chennai,4,513,25,3.226894,Fail,1.721384
327,SKU326,2,Bangalore,2,282,19,65.902511,Fail,0.423269
328,SKU327,2,Kolkata,25,618,32,76.828343,Fail,1.638603
329,SKU328,1,Bangalore,20,648,7,55.243185,Pending,4.015435
330,SKU329,5,Chennai,25,662,19,79.219949,Pass,3.724958
331,SKU330,2,Bangalore,0,113,5,68.96191,Pass,2.798998
332,SKU331,1,Bangalore,23,526,20,40.055617,Pass,0.0
333,SKU332,5,Kolkata,17,446,1,56.231086,Fail,0.0
334,SKU333,2,Mumbai,18,413,10,75.900368,Pending,2.186492
335,SKU334,1,Chennai,3,753,23,65.656969,Pending,2.931331
336,SKU335,5,Bangalore,11,400,8,71.586278,Pass,2.963265
337,SKU336,4,Kolkata,22,310,20,0.0,Pass,4.898083
338,SKU337,2,Kolkata,26,539,26,54.60873,Fail,0.748158
339,SKU338,3,Kolkata,12,602,14,21.705794,Fail,3.51524
340,SKU339,5,Delhi,16,617,16,31.019908,Fail,3.428553
341,SKU340,3,Kolkata,27,186,0,100.933024,Pass,2.465724
342,SKU341,3,Kolkata,12,619,20,0.0,Pending,2.419601
343,SKU342,1,Delhi,25,339,25,11.12003,Pending,2.309802
344,SKU343,1,Bangalore,10,50,16,26.572414,Pending,3.149755
345,SKU344,3,Chennai,30,748,10,16.237313,Pass,0.0
346,SKU345,5,Delhi,6,818,7,53.119105,Pass,2.958003
347,SKU346,1,Kolkata,19,817,19,41.762404,Fail,1.988973
348,SKU347,1,Bangalore,22,425,17,4.628088,Pass,1.60359
349,SKU348,2,Chennai,16,792,20,23.825243,Pending,2.80539
350,SKU349,3,Delhi,23,613,21,23.230526,Pending,2.478754
351,SKU350,3,Kolkata,23,636,24,41.499674,Fail,0.780708
352,SKU351,3,Kolkata,23,604,18,53.481391,Fail,2.179896
353,SKU352,4,Mumbai,17,565,3,74.748937,Pending,0.933199
354,SKU353,2,Kolkata,18,112,11,37.754895,Pending,4.564963
355,SKU354,5,Bangalore,30,1025,23,55.483469,Pass,1.950986
356,SKU355,2,Bangalore,8,731,14,107.818608,Fail,3.075385
357,SKU356,2,Mumbai,24,307,15,7.062103,Fail,1.412188
358,SKU357,2,Kolkata,2,609,0,42.203657,Fail,2.763476
359,SKU358,2,Kolkata,16,581,0,42.153983,Pass,2.273666
360,SKU359,5,Kolkata,27,0,28,79.63323,Pass,5.09444
361,SKU360,3,Bangalore,29,931,16,26.221753,Pending,2.298706
362,SKU361,5,Delhi,8,676,16,129.279205,Fail,4.281508
363,SKU362,3,Kolkata,23,246,25,69.76232,Pending,2.83469
364,SKU363,5,Bangalore,19,614,30,26.213478,Fail,1.469519
365,SKU364,3,Bangalore,37,622,21,59.64138,Fail,0.474795
366,SKU365,3,Kolkata,34,92,13,80.784838,Fail,4.795446
367,SKU366,4,Mumbai,5,784,21,63.206879,Pass,1.798825
368,SKU367,3,Kolkata,18,288,23,114.304606,Pass,0.667695
369,SKU368,5,Mumbai,18,753,25,61.204603,Pass,3.820177
370,SKU369,3,Mumbai,3,782,3,34.689033,Pending,1.804358
371,SKU370,2,Chennai,21,361,21,96.071327,Pass,2.661847
372,SKU371,1,Delhi,20,590,0,67.359529,Fail,1.01318
373,SKU372,3,Chennai,14,649,3,35.309864,Pending,0.830135
374,SKU373,3,Delhi,19,405,8,0.0,Pending,0.842376
375,SKU374,1,Delhi,35,402,20,52.952877,Pending,1.153513
376,SKU375,1,Delhi,19,911,14,25.483272,Pass,1.119267
377,SKU376,1,Bangalore,14,179,0,65.519655,Pass,5.996202
378,SKU377,3,Bangalore,5,757,26,121.895681,Fail,2.78864
379,SKU378,2,Kolkata,28,170,7,33.382538,Fail,0.236723
380,SKU379,2,Delhi,29,664,15,37.343032,Fail,2.015168
381,SKU380,5,Mumbai,26,416,18,121.364989,Pass,3.060713
382,SKU381,4,Chennai,20,807,13,12.548052,Fail,1.798067
