sku,product_type,price,availability,number_of_products_sold,revenue_generated
SKU207,skincare,65.138082,18,512,6391.392836
SKU208,haircare,64.34161,43,410,6182.825153
SKU209,haircare,87.797298,28,342,6857.456254
SKU210,haircare,37.969723,113,378,6768.87647
SKU211,haircare,18.625738,22,822,5082.939007
SKU212,haircare,52.621225,96,86,1785.636835
SKU213,haircare,104.440191,54,0,9289.036266
SKU214,skincare,41.306973,0,561,7461.716661
SKU215,cosmetics,41.19305,23,583,5803.715662
SKU216,cosmetics,41.991331,1,631,6910.647256
SKU217,cosmetics,30.84215,46,258,7904.694543
SKU218,skincare,43.825254,54,727,5362.194645
SKU219,cosmetics,55.632233,34,750,8595.928274
SKU220,cosmetics,15.744834,15,666,2652.312695
SKU221,haircare,0.0,68,7,8636.444402
SKU222,haircare,9.174308,11,781,8325.408421
SKU223,haircare,91.32053,70,588,7113.917894
SKU224,haircare,17.539633,7,1,8801.60722
SKU225,skincare,38.286537,61,410,6877.067607
SKU226,cosmetics,12.685036,59,995,4068.743812
SKU227,haircare,41.528326,70,481,7740.324413
SKU228,skincare,19.762051,68,781,7169.518032
SKU229,skincare,90.583225,75,729,3700.563965
SKU230,skincare,95.950457,48,71,6937.386953
SKU231,haircare,88.783212,106,0,8107.641421
SKU232,skincare,94.354969,52,363,7959.313441
SKU233,cosmetics,31.462597,27,81,5185.94775
SKU234,haircare,30.300405,16,1137,9540.627008
SKU235,cosmetics,59.393334,129,125,9757.355774
SKU236,cosmetics,43.738129,27,378,8333.935713
SKU237,cosmetics,6.133853,88,754,5207.871916
SKU238,haircare,34.316846,27,80,11186.624089
SKU239,cosmetics,56.918508,64,772,3987.301831
SKU240,cosmetics,20.018952,92,322,5595.530748
SKU241,skincare,68.456319,48,403,995.269622
SKU242,skincare,28.813042,43,868,7948.883468
SKU243,cosmetics,53.293918,35,781,6325.463623
SKU244,haircare,97.660022,75,586,7035.796045
SKU245,cosmetics,38.884037,17,912,6449.941542
SKU246,skincare,28.421299,47,833,0.0
SKU247,cosmetics,40.827712,66,0,4798.163608
SKU248,cosmetics,54.857338,17,466,4818.758575
SKU249,cosmetics,80.556632,51,513,3954.951427
SKU250,haircare,53.661558,0,1226,7473.933988
SKU251,skincare,96.566112,108,38,8961.965799
SKU252,haircare,69.596319,72,265,2721.011615
SKU253,haircare,16.672498,51,853,3821.439986
SKU254,cosmetics,92.567972,39,248,4587.077247
SKU255,skincare,49.768878,8,719,4265.449495
SKU256,skincare,59.36772,52,586,4024.794841
SKU257,cosmetics,29.598387,53,256,6927.17557
SKU258,cosmetics,69.449864,58,384,6174.786839
SKU259,skincare,29.006157,32,529,10770.229526
SKU260,skincare,61.969597,61,0,9528.027209
SKU261,cosmetics,41.525553,2,160,4411.115231
SKU262,haircare,44.998029,55,507,8469.925802
SKU263,cosmetics,7.077431,9,634,7001.303395
SKU264,haircare,31.04436,45,486,4362.16146
SKU265,cosmetics,39.882633,27,246,5475.133203
SKU266,cosmetics,52.561337,75,208,9241.291893
SKU267,haircare,52.881813,63,251,9586.734334
SKU268,cosmetics,95.037097,57,662,3806.718152
SKU269,haircare,47.74293,90,671,6547.607855
SKU270,cosmetics,55.190695,77,465,13575.64686
SKU271,skincare,83.636299,21,246,9002.949564
SKU272,cosmetics,67.57205,0,864,6392.184261
SKU273,haircare,48.377671,18,890,8067.827038
SKU274,skincare,47.790766,18,800,12084.571148
SKU275,cosmetics,53.668676,91,55,2062.176718
SKU276,skincare,93.937728,56,694,991.010865
SKU277,skincare,118.257641,54,615,12423.218764
SKU278,cosmetics,76.183487,53,0,3593.053557
SKU279,skincare,0.0,0,164,7213.164
SKU280,haircare,25.731416,49,0,1669.51588
SKU281,haircare,29.760823,32,420,6554.252721
SKU282,skincare,35.366046,42,433,5556.12797
SKU283,cosmetics,51.22873,6,290,7463.949683
SKU284,cosmetics,44.181095,50,621,4357.71886
SKU285,cosmetics,16.85928,10,240,2766.991538
SKU286,haircare,54.523931,37,293,3128.630517
SKU287,skincare,55.193791,84,607,1603.576968
SKU288,haircare,90.922985,85,429,8493.611657
SKU289,cosmetics,83.016931,85,606,5224.920274
SKU290,cosmetics,74.937373,50,601,6988.870228
SKU291,skincare,62.587107,53,571,5795.567467
SKU292,haircare,50.515864,54,531,3992.17675
SKU293,cosmetics,45.956142,30,556,7062.341404
SKU294,skincare,58.177109,0,767,5346.005236
SKU295,cosmetics,28.288042,51,960,8214.001133
SKU296,skincare,53.417801,42,166,7884.238553
SKU297,skincare,50.008683,57,291,1911.729286
SKU298,skincare,20.913381,33,345,6560.880339
SKU299,cosmetics,54.407706,20,647,9186.706305
SKU300,cosmetics,50.453807,88,330,12121.866404
SKU301,haircare,86.111199,62,439,7908.309044
SKU302,haircare,27.697208,41,526,1950.098916
SKU303,haircare,82.622913,15,15,3765.59145
SKU304,cosmetics,71.118759,41,918,6858.3434
SKU305,haircare,64.593366,38,386,4686.243748
SKU306,skincare,79.243395,63,105,6244.432531
SKU307,cosmetics,38.007055,41,257,2630.409194
SKU308,skincare,0.0,54,350,3859.535772
SKU309,haircare,28.90219,73,641,8049.85305
SKU310,skincare,53.751357,33,406,4537.702267
SKU311,skincare,55.623918,4,0,9787.223139
SKU312,cosmetics,55.231101,81,0,6159.467717
SKU313,cosmetics,27.925186,56,335,6427.254347
SKU314,haircare,37.177195,25,692,8841.539565
SKU315,haircare,42.50589,51,201,5215.566134
SKU316,haircare,5.045623,31,157,1128.190347
SKU317,skincare,5.314745,55,780,8779.32822
SKU318,skincare,25.713193,47,0,9364.326529
SKU319,cosmetics,35.750369,48,554,10706.963405
SKU320,haircare,61.736959,56,849,0.0
SKU321,haircare,0.724745,86,563,2930.844241
SKU322,cosmetics,109.265106,59,221,7645.364757
SKU323,haircare,71.130171,23,695,4968.166413
SKU324,haircare,37.647016,65,234,2387.277865
SKU325,haircare,91.315683,72,923,6489.047594
SKU326,cosmetics,100.625487,26,284,2403.347353
SKU327,cosmetics,21.051117,43,788,8876.723659
SKU328,haircare,20.298848,31,0,5905.189729
SKU329,skincare,50.467466,0,459,4497.226594
SKU330,skincare,85.710591,36,447,7081.373611
SKU331,cosmetics,75.725935,43,426,6160.408669
SKU332,haircare,16.383364,82,411,4498.603698
SKU333,skincare,51.454385,98,855,12613.166916
SKU334,cosmetics,70.313638,58,123,8442.462731
SKU335,haircare,47.31327,12,547,3477.953546
SKU336,cosmetics,76.80214,48,413,9181.413666
SKU337,haircare,21.154405,43,181,10361.34909
SKU338,skincare,15.63162,73,406,6151.808318
SKU339,skincare,71.815017,8,131,7536.219224
SKU340,skincare,44.721225,25,125,7830.819109
SKU341,haircare,75.252528,61,185,8156.722253
SKU342,skincare,62.542688,88,396,8325.183739
SKU343,cosmetics,89.358792,13,1148,5124.562346
SKU344,cosmetics,53.032436,41,482,10946.868169
SKU345,skincare,78.419762,46,691,4235.733776
SKU346,haircare,13.052121,24,732,8849.277598
SKU347,skincare,57.621113,69,636,7345.982292
SKU348,cosmetics,0.0,82,530,5646.338342
SKU349,haircare,47.91558,83,496,7113.52189
SKU350,haircare,67.594636,37,579,3979.073138
SKU351,haircare,57.694979,0,338,7005.979832
SKU352,skincare,22.032287,32,0,4727.316355
SKU353,skincare,39.03195,79,170,2876.852237
SKU354,skincare,78.102274,16,724,2550.229555
SKU355,skincare,90.257797,54,639,5350.874425
SKU356,haircare,59.119362,6,57,8529.013282
SKU357,haircare,37.843707,48,452,3177.943573
SKU358,haircare,40.189731,33,1275,8025.215527
SKU359,cosmetics,0.0,51,189,8128.773113
SKU360,skincare,49.560079,86,758,1969.055396
SKU361,skincare,20.129716,14,415,7198.26785
SKU362,cosmetics,104.136247,45,125,2263.908428
SKU363,cosmetics,104.739861,22,411,5153.218766
SKU364,skincare,0.0,0,154,3985.646928
SKU365,cosmetics,77.419636,115,253,10191.624028
SKU366,skincare,39.360921,71,500,376.74517
SKU367,haircare,55.486888,67,0,6322.174757
SKU368,skincare,49.433725,32,268,6176.043742
SKU369,haircare,72.399718,51,151,6446.918975
SKU370,cosmetics,66.492123,49,519,5891.742994
SKU371,haircare,56.642658,35,781,6297.122935
SKU372,cosmetics,74.233843,22,214,8814.243527
SKU373,cosmetics,0.0,0,1076,6979.260026
SKU374,cosmetics,81.387431,38,205,8293.083484
SKU375,haircare,33.739129,49,0,4214.220051
SKU376,skincare,65.383151,6,293,6504.606676
SKU377,skincare,26.554004,83,304,9216.623537
SKU378,haircare,3.859698,10,226,5990.762735
SKU379,haircare,72.995094,42,366,8108.797947
SKU380,haircare,14.16834,40,839,8450.90931
SKU381,skincare,36.335339,25,310,4382.394544
SKU382,skincare,42.6269,15,1115,8888.244481
SKU383,cosmetics,39.300259,93,515,6461.695117
SKU384,haircare,63.828226,43,74,1433.82575
SKU385,skincare,55.563826,55,534,3861.533079
SKU386,haircare,85.39324,52,1102,5155.538133
SKU387,cosmetics,47.600579,55,642,9497.18941
SKU388,haircare,11.153594,50,437,4020.622243
SKU389,skincare,48.8486,108,597,6001.119566
SKU390,skincare,39.623621,0,308,8975.655819
SKU391,haircare,74.326628,29,722,5828.271965
SKU392,skincare,36.597934,68,511,12860.240462
SKU393,skincare,56.61187,24,1095,2795.743526
SKU394,cosmetics,2.31603,77,529,7140.490231
SKU395,cosmetics,30.2917,58,262,6953.95475
SKU396,cosmetics,102.676121,45,560,8365.972694
SKU397,cosmetics,32.109834,83,189,8499.439453
SKU398,haircare,49.690793,3,314,1870.668253
SKU399,skincare,2.252151,44,615,5929.897825
SKU400,haircare,118.460549,94,691,496.612784
SKU401,haircare,1.281894,59,558,5184.129706
SKU402,haircare,51.778834,80,546,6469.673602
SKU403,haircare,33.574497,32,525,8141.353684
SKU404,skincare,71.096001,23,554,2233.426704
SKU405,skincare,41.455944,55,300,7285.532258
SKU406,skincare,16.93235,21,332,2930.454685
SKU407,cosmetics,58.487155,40,528,8305.854434
SKU408,haircare,43.121724,43,155,11474.415794
SKU409,haircare,20.714548,52,509,10113.851099
SKU410,cosmetics,35.276146,52,500,8239.563893
SKU411,haircare,46.427917,54,525,3345.290833
SKU412,haircare,86.087273,61,169,3611.435798
SKU413,haircare,13.309185,30,813,1243.879798
SKU414,haircare,62.138642,3,24,9198.659455
SKU415,skincare,61.647479,60,814,7573.834244
SKU416,skincare,31.987796,47,318,6172.693862
SKU417,haircare,53.703335,27,0,3807.922155
SKU418,haircare,16.850551,13,434,5865.288524
SKU419,haircare,14.948256,98,603,3022.790406
SKU420,cosmetics,41.049673,29,0,4460.451265
SKU421,haircare,27.193865,103,500,2574.953853
SKU422,skincare,40.320661,50,505,3637.101467
SKU423,skincare,79.103778,5,728,2024.82336
SKU424,skincare,27.214724,38,557,4236.973482
SKU425,cosmetics,55.094195,40,68,1759.110393
SKU426,cosmetics,9.83388,71,475,9192.485394
SKU427,cosmetics,0.0,24,814,8407.380981
SKU428,skincare,49.841538,12,381,9501.55133
SKU429,cosmetics,81.953198,29,477,3720.509961
SKU430,cosmetics,31.79498,37,1258,6596.885139
SKU431,cosmetics,60.571151,37,685,5525.972758
SKU432,cosmetics,17.20386,70,899,4919.295305
SKU433,haircare,84.434224,29,418,4663.574895
SKU434,haircare,1.139674,92,566,6521.035966
SKU435,haircare,34.163692,133,147,2094.995365
SKU436,skincare,0.0,44,350,4524.831827
SKU437,cosmetics,91.928035,62,844,5709.704989
SKU438,cosmetics,72.337687,27,570,6001.521063
SKU439,cosmetics,27.716035,55,0,7332.445601
SKU440,cosmetics,36.99551,70,25,6088.75381
SKU441,skincare,38.732918,24,876,6640.179799
SKU442,cosmetics,61.937583,89,494,3310.740958
SKU443,haircare,93.64296,17,852,7380.355623
SKU444,haircare,67.416174,62,927,9189.52401
SKU445,haircare,16.797367,27,432,5395.914907
SKU446,cosmetics,65.600478,46,449,9224.94948
SKU447,cosmetics,30.164642,0,376,5781.133485
SKU448,cosmetics,75.628941,30,26,2928.6946
SKU449,haircare,94.598338,56,118,3534.154572
SKU450,haircare,19.123214,103,628,3229.320399
SKU451,haircare,65.397909,36,0,680.455193
SKU452,skincare,49.962523,53,305,3259.77412
SKU453,cosmetics,44.908246,93,445,3735.437872
SKU454,skincare,67.085733,82,562,0.0
SKU455,cosmetics,69.583038,74,486,5451.860089
SKU456,haircare,38.324563,58,663,7465.473497
SKU457,haircare,9.12515,74,411,9044.272517
SKU458,skincare,40.713188,86,174,3310.0494
SKU459,skincare,80.521883,46,470,13827.076882
SKU460,skincare,10.751146,74,465,4939.757381
SKU461,cosmetics,64.002281,108,539,5744.737014
SKU462,cosmetics,0.0,17,402,3065.449542
SKU463,cosmetics,82.27715,26,121,5663.771062
SKU464,haircare,72.205028,26,189,4670.257704
SKU465,haircare,47.637467,24,719,6448.983236
SKU466,cosmetics,69.248049,8,235,6912.608265
SKU467,haircare,67.725749,50,50,5889.783885
SKU468,cosmetics,92.265107,75,380,5278.783511
SKU469,skincare,128.457977,50,671,3289.150865
SKU470,haircare,79.862337,127,493,4604.593432
SKU471,haircare,31.316251,59,599,1344.570328
SKU472,haircare,53.972314,91,368,2265.507376
SKU473,skincare,44.609791,0,736,9540.891452
SKU474,haircare,0.0,67,249,5167.495642
SKU475,haircare,1.047056,102,351,3490.627399
SKU476,skincare,53.358718,56,663,1193.629218
SKU477,haircare,75.994432,84,227,3452.558096
SKU478,cosmetics,86.276067,19,336,3806.565874
SKU479,haircare,80.201241,58,632,10428.884643
SKU480,skincare,0.0,0,1074,11377.259967
SKU481,cosmetics,58.401708,21,351,4598.106087
SKU482,haircare,127.7589,6,441,9100.42864
SKU483,cosmetics,29.099262,62,0,8149.677661
SKU484,cosmetics,15.744376,87,790,8692.385598
SKU485,skincare,30.960622,74,235,667.528702
SKU486,cosmetics,51.507315,2,1000,11955.400207
SKU487,skincare,24.084212,62,992,6344.225266
SKU488,cosmetics,14.559119,51,885,3528.239652
SKU489,skincare,59.21072,55,1056,4973.826568
SKU490,cosmetics,33.81089,52,511,6326.376824
SKU491,skincare,13.149785,40,425,3630.297842
SKU492,cosmetics,91.471295,11,985,7602.109355
SKU493,haircare,39.974215,29,1059,1005.277236
SKU494,haircare,60.659402,37,1025,10123.117531
SKU495,skincare,67.904517,7,719,3857.234929
SKU496,cosmetics,78.744222,27,33,890.132553
SKU497,haircare,57.658619,37,822,5394.598531
SKU498,skincare,26.674535,6,0,5692.335279
SKU499,haircare,54.726672,44,695,5139.502098
