order_id,sku,order_quantity,units_sold,customer_demographic
186,SKU185,79,0,Female
187,SKU186,44,939,Non-binary
188,SKU187,38,782,Male
189,SKU188,62,471,Non-binary
190,SKU189,17,350,Unknown
191,SKU190,77,393,Female
192,SKU191,60,888,Female
193,SKU192,77,0,Female
194,SKU193,56,533,Male
195,SKU194,43,735,Female
196,SKU195,50,719,Unknown
197,SKU196,44,708,Non-binary
198,SKU197,29,236,Non-binary
199,SKU198,91,352,Unknown
200,SKU199,37,524,Male
201,SKU200,7,499,Non-binary
202,SKU201,64,610,Male
203,SKU202,31,296,Female
204,SKU203,40,665,Unknown
205,SKU204,33,485,Male
206,SKU205,65,120,Non-binary
207,SKU206,51,479,Unknown
208,SKU207,48,512,Male
209,SKU208,56,410,Non-binary
210,SKU209,42,342,Non-binary
211,SKU210,59,378,Non-binary
212,SKU211,48,822,Non-binary
213,SKU212,77,86,Male
214,SKU213,32,0,Male
215,SKU214,7,561,Female
216,SKU215,58,583,Unknown
217,SKU216,66,631,Male
218,SKU217,7,258,Non-binary
219,SKU218,46,727,Female
220,SKU219,84,750,Female
221,SKU220,72,666,Unknown
222,SKU221,58,7,Non-binary
223,SKU222,44,781,Unknown
224,SKU223,55,588,Unknown
225,SKU224,30,1,Non-binary
226,SKU225,33,410,Female
227,SKU226,81,995,Unknown
228,SKU227,22,481,Female
229,SKU228,25,781,Unknown
230,SKU229,40,729,Female
231,SKU230,70,71,Female
232,SKU231,64,0,Female
233,SKU232,20,363,Male
234,SKU233,22,81,Non-binary
235,SKU234,25,1137,Non-binary
236,SKU235,65,125,Male
237,SKU236,59,378,Non-binary
238,SKU237,56,754,Male
239,SKU238,22,80,Female
240,SKU239,63,772,Female
241,SKU240,75,322,Unknown
242,SKU241,33,403,Non-binary
243,SKU242,63,868,Female
244,SKU243,78,781,Unknown
245,SKU244,81,586,Female
246,SKU245,71,912,Non-binary
247,SKU246,33,833,Non-binary
248,SKU247,76,0,Female
249,SKU248,82,466,Non-binary
250,SKU249,27,513,Male
251,SKU250,32,1226,Male
252,SKU251,69,38,Non-binary
253,SKU252,9,265,Male
254,SKU253,16,853,Unknown
255,SKU254,76,248,Male
256,SKU255,96,719,Unknown
257,SKU256,83,586,Non-binary
258,SKU257,59,256,Male
259,SKU258,34,384,Unknown
260,SKU259,32,529,Unknown
261,SKU260,55,0,Unknown
262,SKU261,59,160,Female
263,SKU262,26,507,Female
264,SKU263,58,634,Female
265,SKU264,20,486,Female
266,SKU265,72,246,Non-binary
267,SKU266,91,208,Female
268,SKU267,0,251,Non-binary
269,SKU268,46,662,Female
270,SKU269,58,671,Male
271,SKU270,56,465,Female
272,SKU271,47,246,Female
273,SKU272,12,864,Unknown
274,SKU273,78,890,Male
275,SKU274,49,800,Male
276,SKU275,80,55,Female
277,SKU276,51,694,Non-binary
278,SKU277,36,615,Non-binary
279,SKU278,86,0,Male
280,SKU279,72,164,Unknown
281,SKU280,110,0,Non-binary
282,SKU281,65,420,Unknown
283,SKU282,79,433,Female
284,SKU283,29,290,Unknown
285,SKU284,61,621,Male
286,SKU285,58,240,Unknown
287,SKU286,66,293,Non-binary
288,SKU287,57,607,Non-binary
289,SKU288,27,429,Male
290,SKU289,69,606,Female
291,SKU290,40,601,Unknown
292,SKU291,28,571,Male
293,SKU292,51,531,Unknown
294,SKU293,38,556,Non-binary
295,SKU294,45,767,Unknown
296,SKU295,67,960,Unknown
297,SKU296,31,166,Unknown
298,SKU297,53,291,Unknown
299,SKU298,95,345,Male
300,SKU299,84,647,Female
301,SKU300,39,330,Non-binary
302,SKU301,71,439,Male
303,SKU302,21,526,Female
304,SKU303,51,15,Female
305,SKU304,63,918,Non-binary
306,SKU305,47,386,Non-binary
307,SKU306,70,105,Unknown
308,SKU307,27,257,Unknown
309,SKU308,64,350,Unknown
310,SKU309,29,641,Female
311,SKU310,13,406,Male
312,SKU311,44,0,Unknown
313,SKU312,19,0,Non-binary
314,SKU313,6,335,Female
315,SKU314,16,692,Unknown
316,SKU315,14,201,Male
317,SKU316,44,157,Female
318,SKU317,93,780,Male
319,SKU318,35,0,Unknown
320,SKU319,99,554,Male
321,SKU320,51,849,Female
322,SKU321,0,563,Non-binary
323,SKU322,0,221,Female
324,SKU323,65,695,Unknown
325,SKU324,35,234,Male
326,SKU325,49,923,Female
327,SKU326,78,284,Male
328,SKU327,32,788,Female
329,SKU328,38,0,Female
330,SKU329,61,459,Male
331,SKU330,72,447,Male
332,SKU331,32,426,Female
333,SKU332,76,411,Unknown
334,SKU333,89,855,Female
335,SKU334,19,123,Female
336,SKU335,53,547,Female
337,SKU336,57,413,Male
338,SKU337,16,181,Non-binary
339,SKU338,33,406,Unknown
340,SKU339,59,131,Male
341,SKU340,33,125,Male
342,SKU341,49,185,Male
343,SKU342,59,396,Female
344,SKU343,61,1148,Unknown
345,SKU344,96,482,Male
346,SKU345,18,691,Non-binary
347,SKU346,44,732,Female
348,SKU347,50,636,Female
349,SKU348,55,530,Male
350,SKU349,64,496,Non-binary
351,SKU350,57,579,Male
352,SKU351,81,338,Female
353,SKU352,37,0,Male
354,SKU353,43,170,Non-binary
355,SKU354,78,724,Unknown
356,SKU355,36,639,Male
357,SKU356,50,57,Male
358,SKU357,63,452,Female
359,SKU358,25,1275,Female
360,SKU359,37,189,Female
361,SKU360,82,758,Female
362,SKU361,17,415,Non-binary
363,SKU362,43,125,Non-binary
364,SKU363,40,411,Female
365,SKU364,0,154,Non-binary
366,SKU365,81,253,Non-binary
367,SKU366,34,500,Non-binary
368,SKU367,49,0,Male
369,SKU368,15,268,Non-binary
370,SKU369,3,151,Female
371,SKU370,40,519,Male
372,SKU371,29,781,Female
373,SKU372,70,214,Non-binary
374,SKU373,55,1076,Female
375,SKU374,67,205,Female
376,SKU375,66,0,Non-binary
377,SKU376,57,293,Unknown
378,SKU377,80,304,Non-binary
379,SKU378,23,226,Unknown
380,SKU379,71,366,Unknown
381,SKU380,47,839,Non-binary
382,SKU381,93,310,Non-binary
383,SKU382,54,1115,Male
384,SKU383,47,515,Female
385,SKU384,40,74,Female
386,SKU385,39,534,Unknown
387,SKU386,10,1102,Non-binary
388,SKU387,70,642,Male
389,SKU388,0,437,Non-binary
390,SKU389,30,597,Unknown
391,SKU390,53,308,Non-binary
392,SKU391,27,722,Non-binary
393,SKU392,77,511,Non-binary
394,SKU393,39,1095,Female
395,SKU394,73,529,Non-binary
396,SKU395,96,262,Male
397,SKU396,39,560,Unknown
398,SKU397,17,189,Female
399,SKU398,0,314,Non-binary
400,SKU399,62,615,Female
401,SKU400,0,691,Non-binary
402,SKU401,93,558,Female
403,SKU402,62,546,Male
404,SKU403,63,525,Female
405,SKU404,84,554,Male
406,SKU405,68,300,Unknown
407,SKU406,16,332,Non-binary
408,SKU407,88,528,Male
409,SKU408,0,155,Male
410,SKU409,23,509,Non-binary
411,SKU410,7,500,Female
412,SKU411,20,525,Male
413,SKU412,73,169,Female
414,SKU413,61,813,Non-binary
415,SKU414,67,24,Unknown
416,SKU415,57,814,Non-binary
417,SKU416,55,318,Non-binary
418,SKU417,58,0,Male
419,SKU418,81,434,Non-binary
420,SKU419,29,603,Unknown
421,SKU420,69,0,Female
422,SKU421,30,500,Male
423,SKU422,11,505,Unknown
424,SKU423,45,728,Unknown
425,SKU424,36,557,Female
426,SKU425,39,68,Male
427,SKU426,36,475,Non-binary
428,SKU427,91,814,Non-binary
429,SKU428,48,381,Female
430,SKU429,57,477,Unknown
431,SKU430,37,1258,Female
432,SKU431,92,685,Non-binary
433,SKU432,26,899,Unknown
434,SKU433,28,418,Female
435,SKU434,39,566,Non-binary
436,SKU435,45,147,Female
437,SKU436,0,350,Male
438,SKU437,76,844,Female
439,SKU438,74,570,Non-binary
440,SKU439,28,0,Male
441,SKU440,42,25,Non-binary
442,SKU441,25,876,Unknown
443,SKU442,40,494,Unknown
444,SKU443,22,852,Male
445,SKU444,36,927,Female
446,SKU445,53,432,Male
447,SKU446,56,449,Non-binary
448,SKU447,0,376,Unknown
449,SKU448,11,26,Unknown
450,SKU449,39,118,Unknown
451,SKU450,56,628,Female
452,SKU451,62,0,Female
453,SKU452,55,305,Male
454,SKU453,39,445,Female
455,SKU454,46,562,Male
456,SKU455,65,486,Non-binary
457,SKU456,49,663,Unknown
458,SKU457,62,411,Male
459,SKU458,53,174,Non-binary
460,SKU459,38,470,Unknown
461,SKU460,45,465,Non-binary
462,SKU461,77,539,Non-binary
463,SKU462,32,402,Unknown
464,SKU463,44,121,Unknown
465,SKU464,6,189,Male
466,SKU465,75,719,Female
467,SKU466,10,235,Male
468,SKU467,48,50,Non-binary
469,SKU468,16,380,Unknown
470,SKU469,70,671,Female
471,SKU470,38,493,Male
472,SKU471,32,599,Non-binary
473,SKU472,39,368,Unknown
474,SKU473,43,736,Male
475,SKU474,7,249,Non-binary
476,SKU475,20,351,Male
477,SKU476,52,663,Unknown
478,SKU477,60,227,Non-binary
479,SKU478,3,336,Non-binary
480,SKU479,94,632,Unknown
481,SKU480,12,1074,Male
482,SKU481,32,351,Male
483,SKU482,51,441,Female
484,SKU483,84,0,Male
485,SKU484,14,790,Female
486,SKU485,23,235,Male
487,SKU486,47,1000,Non-binary
488,SKU487,81,992,Unknown
489,SKU488,81,885,Male
490,SKU489,63,1056,Male
491,SKU490,70,511,Non-binary
492,SKU491,70,425,Female
493,SKU492,33,985,Male
494,SKU493,73,1059,Non-binary
495,SKU494,52,1025,Female
496,SKU495,53,719,Non-binary
497,SKU496,70,33,Female
498,SKU497,62,822,Female
499,SKU498,48,0,Male
500,SKU499,87,695,Non-binary
