inventory_id,sku,stock_level,lead_time_days,order_quantity
174,SKU173,17,1,49
175,SKU174,1,14,46
176,SKU175,0,9,73
177,SKU176,14,19,27
178,SKU177,67,20,69
179,SKU178,79,18,17
180,SKU179,73,8,38
181,SKU180,30,18,90
182,SKU181,44,23,73
183,SKU182,30,5,12
184,SKU183,19,26,43
185,SKU184,13,21,14
186,SKU185,76,15,79
187,SKU186,75,15,44
188,SKU187,54,13,38
189,SKU188,31,5,62
190,SKU189,19,20,17
191,SKU190,0,17,77
192,SKU191,38,14,60
193,SKU192,0,23,77
194,SKU193,63,11,56
195,SKU194,34,0,43
196,SKU195,89,25,50
197,SKU196,0,10,44
198,SKU197,28,14,29
199,SKU198,0,26,91
200,SKU199,85,32,37
201,SKU200,44,20,7
202,SKU201,0,11,64
203,SKU202,36,18,31
204,SKU203,57,26,40
205,SKU204,17,4,33
206,SKU205,72,16,65
207,SKU206,68,5,51
208,SKU207,61,0,48
209,SKU208,33,24,56
210,SKU209,53,18,42
211,SKU210,69,15,59
212,SKU211,62,21,48
213,SKU212,107,23,77
214,SKU213,90,14,32
215,SKU214,62,18,7
216,SKU215,54,16,58
217,SKU216,67,14,66
218,SKU217,3,20,7
219,SKU218,42,24,46
220,SKU219,71,17,84
221,SKU220,94,12,72
222,SKU221,17,29,58
223,SKU222,99,0,44
224,SKU223,31,18,55
225,SKU224,56,24,30
226,SKU225,46,29,33
227,SKU226,95,27,81
228,SKU227,20,21,22
229,SKU228,23,10,25
230,SKU229,49,4,40
231,SKU230,26,16,70
232,SKU231,21,20,64
233,SKU232,36,30,20
234,SKU233,38,10,22
235,SKU234,16,17,25
236,SKU235,79,19,65
237,SKU236,68,20,59
238,SKU237,114,9,56
239,SKU238,54,24,22
240,SKU239,74,35,63
241,SKU240,30,2,75
242,SKU241,68,27,33
243,SKU242,22,29,63
244,SKU243,68,26,78
245,SKU244,55,22,81
246,SKU245,54,18,71
247,SKU246,0,12,33
248,SKU247,57,10,76
249,SKU248,46,31,82
250,SKU249,35,11,27
251,SKU250,64,27,32
252,SKU251,36,26,69
253,SKU252,30,19,9
254,SKU253,71,7,16
255,SKU254,0,13,76
256,SKU255,21,8,96
257,SKU256,76,17,83
258,SKU257,113,19,59
259,SKU258,8,4,34
260,SKU259,3,0,32
261,SKU260,46,21,55
262,SKU261,40,33,59
263,SKU262,45,20,26
264,SKU263,0,12,58
265,SKU264,61,22,20
266,SKU265,20,3,72
267,SKU266,101,8,91
268,SKU267,12,18,0
269,SKU268,57,38,46
270,SKU269,17,10,58
271,SKU270,86,17,56
272,SKU271,93,11,47
273,SKU272,92,2,12
274,SKU273,85,26,78
275,SKU274,80,20,49
276,SKU275,43,10,80
277,SKU276,29,15,51
278,SKU277,31,9,36
279,SKU278,81,17,86
280,SKU279,88,11,72
281,SKU280,64,15,110
282,SKU281,0,13,65
283,SKU282,72,26,79
284,SKU283,80,13,29
285,SKU284,101,1,61
286,SKU285,66,4,58
287,SKU286,0,16,66
288,SKU287,74,5,57
289,SKU288,53,17,27
290,SKU289,25,22,69
291,SKU290,61,18,40
292,SKU291,0,9,28
293,SKU292,46,17,51
294,SKU293,77,9,38
295,SKU294,41,7,45
296,SKU295,0,12,67
297,SKU296,87,12,31
298,SKU297,32,4,53
299,SKU298,18,5,95
300,SKU299,42,23,84
301,SKU300,85,3,39
302,SKU301,108,30,71
303,SKU302,31,14,21
304,SKU303,85,39,51
305,SKU304,83,8,63
306,SKU305,127,3,47
307,SKU306,47,22,70
308,SKU307,77,20,27
309,SKU308,26,16,64
310,SKU309,25,33,29
311,SKU310,48,20,13
312,SKU311,23,26,44
313,SKU312,75,4,19
314,SKU313,60,28,6
315,SKU314,15,19,16
316,SKU315,72,14,14
317,SKU316,39,28,44
318,SKU317,29,10,93
319,SKU318,38,20,35
320,SKU319,37,18,99
321,SKU320,50,1,51
322,SKU321,0,20,0
323,SKU322,58,0,0
324,SKU323,37,0,65
325,SKU324,33,24,35
326,SKU325,29,19,49
327,SKU326,3,0,78
328,SKU327,126,20,32
329,SKU328,108,0,38
330,SKU329,0,12,61
331,SKU330,58,11,72
332,SKU331,27,15,32
333,SKU332,38,17,76
334,SKU333,73,20,89
335,SKU334,60,9,19
336,SKU335,65,12,53
337,SKU336,63,13,57
338,SKU337,37,28,16
339,SKU338,57,19,33
340,SKU339,80,7,59
341,SKU340,93,16,33
342,SKU341,69,27,49
343,SKU342,58,14,59
344,SKU343,48,10,61
345,SKU344,134,11,96
346,SKU345,19,13,18
347,SKU346,60,25,44
348,SKU347,44,11,50
349,SKU348,49,14,55
350,SKU349,7,16,64
351,SKU350,61,17,57
352,SKU351,0,16,81
353,SKU352,71,19,37
354,SKU353,122,19,43
355,SKU354,41,15,78
356,SKU355,92,19,36
357,SKU356,31,17,50
358,SKU357,59,12,63
359,SKU358,60,12,25
360,SKU359,73,12,37
361,SKU360,85,27,82
362,SKU361,44,25,17
363,SKU362,65,30,43
364,SKU363,16,0,40
365,SKU364,0,14,0
366,SKU365,60,14,81
367,SKU366,23,22,34
368,SKU367,51,9,49
369,SKU368,32,15,15
370,SKU369,17,6,3
371,SKU370,66,22,40
372,SKU371,85,13,29
373,SKU372,45,16,70
374,SKU373,14,20,55
375,SKU374,44,24,67
376,SKU375,58,26,66
377,SKU376,75,14,57
378,SKU377,33,9,80
379,SKU378,36,27,23
380,SKU379,65,7,71
381,SKU380,53,8,47
382,SKU381,23,35,93
383,SKU382,67,19,54
384,SKU383,87,6,47
385,SKU384,14,19,40
386,SKU385,28,6,39
387,SKU386,42,0,10
388,SKU387,28,18,70
389,SKU388,82,9,0
390,SKU389,49,31,30
391,SKU390,41,15,53
392,SKU391,4,23,27
393,SKU392,93,9,77
394,SKU393,0,13,39
395,SKU394,45,14,73
396,SKU395,32,22,96
397,SKU396,75,22,39
398,SKU397,20,31,17
399,SKU398,43,0,0
400,SKU399,13,14,62
401,SKU400,29,15,0
402,SKU401,60,4,93
403,SKU402,51,15,62
404,SKU403,17,16,63
405,SKU404,6,18,84
406,SKU405,22,19,68
407,SKU406,22,17,16
408,SKU407,2,0,88
409,SKU408,5,0,0
410,SKU409,38,27,23
411,SKU410,62,25,7
412,SKU411,64,22,20
413,SKU412,27,25,73
414,SKU413,1,19,61
415,SKU414,78,16,67
416,SKU415,45,21,57
417,SKU416,46,20,55
418,SKU417,32,8,58
419,SKU418,71,19,81
420,SKU419,55,31,29
421,SKU420,56,16,69
422,SKU421,56,20,30
423,SKU422,77,27,11
424,SKU423,76,0,45
425,SKU424,86,16,36
426,SKU425,0,4,39
427,SKU426,0,2,36
428,SKU427,57,6,91
429,SKU428,78,16,48
430,SKU429,59,9,57
431,SKU430,109,23,37
432,SKU431,14,24,92
433,SKU432,32,23,26
434,SKU433,53,34,28
435,SKU434,39,12,39
436,SKU435,71,21,45
437,SKU436,44,24,0
438,SKU437,3,29,76
439,SKU438,35,19,74
440,SKU439,21,19,28
441,SKU440,0,19,42
442,SKU441,27,25,25
443,SKU442,85,5,40
444,SKU443,127,19,22
445,SKU444,108,0,36
446,SKU445,52,24,53
447,SKU446,29,7,56
448,SKU447,0,21,0
449,SKU448,82,37,11
450,SKU449,24,28,39
451,SKU450,23,8,56
452,SKU451,54,18,62
453,SKU452,114,25,55
454,SKU453,57,16,39
455,SKU454,61,19,46
456,SKU455,76,15,65
457,SKU456,76,20,49
458,SKU457,48,20,62
459,SKU458,0,16,53
460,SKU459,73,14,38
461,SKU460,29,14,45
462,SKU461,80,26,77
463,SKU462,2,32,32
464,SKU463,2,17,44
465,SKU464,19,12,6
466,SKU465,47,9,75
467,SKU466,6,26,10
468,SKU467,25,7,48
469,SKU468,39,10,16
470,SKU469,33,22,70
471,SKU470,104,16,38
472,SKU471,65,20,32
473,SKU472,55,8,39
474,SKU473,82,0,43
475,SKU474,66,28,7
476,SKU475,69,14,20
477,SKU476,61,21,52
478,SKU477,35,19,60
479,SKU478,38,28,3
480,SKU479,72,17,94
481,SKU480,83,20,12
482,SKU481,0,8,32
483,SKU482,55,12,51
484,SKU483,123,14,84
485,SKU484,35,11,14
486,SKU485,25,7,23
487,SKU486,108,10,47
488,SKU487,74,12,81
489,SKU488,110,12,81
490,SKU489,85,21,63
491,SKU490,119,1,70
492,SKU491,54,26,70
493,SKU492,29,4,33
494,SKU493,0,16,73
495,SKU494,65,15,52
496,SKU495,22,21,53
497,SKU496,67,16,70
498,SKU497,31,9,62
499,SKU498,94,17,48
500,SKU499,0,10,87
